Stato,Prime ANSI,Popolazione (1-4-2020),Capitale
,HI,,
Alaska,AK,733 391,Juneau
California,CA,39 538 223,Sacramento
Georgia,GA,10 711 908,Atlanta
Idaho,ID,1 839 106,Boise
Iowa,IA,3 190 369,Des Moines
Kansas,KS,2 937 880,Topeka
Kentucky,KY,4 505 836,Frankfort
Maryland,MD,6 177 224,Annapolis
New York,NY,20 201 249,Albany
Ohio,OH,11 799 448,Columbus
Pennsylvania,PA,13 002 700,Harrisburg
Utah,UT,3 271 616,Salt Lake City
Vermont,VT,643 077,Montpelier
Virginia,VA,8 631 393,Richmond
Washington,WA,7 705 281,Olympia
Wisconsin,WI,5 893 718,Madison
